ID_CZASTECZKI, CORD_X, CORD_Y
Czasteczka nr. 13, 2.640952, 1.389596
Czasteczka nr. 14, 0.907990, 0.167692
Czasteczka nr. 15, 1.420493, 1.599393
Czasteczka nr. 16, 1.469853, 1.140164
Czasteczka nr. 17, 0.776537, 2.021438
Czasteczka nr. 18, 1.852432, 0.903074
Czasteczka nr. 19, 1.920967, 1.361922
Czasteczka nr. 20, 1.633316, 1.110587
Czasteczka nr. 21, 1.476271, 1.334202
Czasteczka nr. 22, 1.086133, 1.332763
Czasteczka nr. 23, 1.834487, 0.612443
Czasteczka nr. 24, 1.415166, 1.551775
Czasteczka nr. 25, 1.741024, 1.242736
Czasteczka nr. 26, 1.780852, 1.729993
Czasteczka nr. 27, 1.873320, 1.534626
Czasteczka nr. 28, 1.628438, 1.309972
Czasteczka nr. 29, 1.952735, 1.958993
Czasteczka nr. 30, 1.650512, 1.276791
Czasteczka nr. 31, 2.360822, 1.486432
Czasteczka nr. 32, 2.097465, 2.055157
Czasteczka nr. 33, 0.896180, 0.989492
Czasteczka nr. 34, 1.794716, 1.666812
Czasteczka nr. 35, 1.619319, 0.828365
Czasteczka nr. 36, 1.855995, 1.524077
Czasteczka nr. 37, 1.608156, 1.251931
Czasteczka nr. 38, 1.302337, 1.708865
Czasteczka nr. 39, 1.449478, 1.622248
Czasteczka nr. 40, 2.708546, 0.605451
Czasteczka nr. 41, 2.041001, 1.358097
Czasteczka nr. 42, 1.615039, 1.594662
Czasteczka nr. 43, 1.973575, 0.710576
Czasteczka nr. 44, 1.144597, 1.295463
Czasteczka nr. 45, 3.708869, 1.888375
Czasteczka nr. 46, 1.595052, 1.491300
Czasteczka nr. 47, 1.801588, 0.862010
Czasteczka nr. 48, 1.809763, 1.447758
Czasteczka nr. 49, 1.602092, 1.400207
Czasteczka nr. 50, 1.921955, 1.575479
Czasteczka nr. 51, 1.815508, 1.221669
Czasteczka nr. 52, 1.631818, 1.625271
Czasteczka nr. 53, 1.280690, 0.859740
Czasteczka nr. 54, 2.415447, 0.513729
Czasteczka nr. 55, 2.110672, 1.171332
Czasteczka nr. 56, 2.025551, 1.046190
Czasteczka nr. 57, 1.295128, 1.499556
Czasteczka nr. 58, 1.663181, 1.371914
Czasteczka nr. 59, 1.639593, 1.163810
Czasteczka nr. 60, 1.596884, 1.309117
Czasteczka nr. 61, 2.113063, 1.515417
Czasteczka nr. 62, 2.104589, 1.568027
Czasteczka nr. 63, 1.851517, 1.256855
Czasteczka nr. 64, 2.447994, 1.059181
Czasteczka nr. 65, 2.118753, 0.454948
Czasteczka nr. 66, 0.827196, 1.187013
Czasteczka nr. 67, 1.118401, 0.375028
Czasteczka nr. 68, 2.110896, 1.709208
Czasteczka nr. 69, 1.630743, 0.961735
Czasteczka nr. 70, 1.002168, 1.224849
Czasteczka nr. 71, 1.810067, 1.446461
Czasteczka nr. 72, 1.679564, 1.478432
Czasteczka nr. 73, 2.529607, 1.101261
Czasteczka nr. 74, 0.873452, 0.789508
Czasteczka nr. 75, 2.329322, 1.705396
Czasteczka nr. 76, 1.826204, 1.113768
Czasteczka nr. 77, 2.060391, 1.370339
Czasteczka nr. 78, 1.105969, 1.363448
Czasteczka nr. 79, 2.397827, 1.139079
Czasteczka nr. 80, 1.823870, 1.080851
Czasteczka nr. 81, 2.056154, 1.132274
Czasteczka nr. 82, 1.447873, 1.072858
Czasteczka nr. 83, 0.975089, 1.155499
Czasteczka nr. 84, 1.966433, 0.713001
Czasteczka nr. 85, 0.582435, 0.894069
Czasteczka nr. 86, 2.138684, 1.975411
Czasteczka nr. 87, 2.082321, 1.493467
Czasteczka nr. 88, 1.969924, 1.054101
Czasteczka nr. 89, 1.337982, 0.787076
Czasteczka nr. 90, 1.420081, 1.237057
Czasteczka nr. 91, 1.638685, 1.610569
Czasteczka nr. 92, 1.350002, 2.358041
Czasteczka nr. 93, 1.711506, 0.782518
Czasteczka nr. 94, 2.556532, 1.344199
Czasteczka nr. 95, 1.383672, 1.479715
Czasteczka nr. 96, 1.801628, 1.231424
Czasteczka nr. 97, 1.907842, 1.765316
Czasteczka nr. 98, 1.695528, 1.772016
Czasteczka nr. 99, 2.633969, 1.946081
Czasteczka nr. 100, 1.859319, 1.377603
Czasteczka nr. 101, 1.173448, 1.323346
Czasteczka nr. 102, 1.840232, 1.293074
Czasteczka nr. 103, 3.926856, 1.106428
Czasteczka nr. 104, 2.928148, 1.268659
Czasteczka nr. 105, 2.025267, 1.023547
Czasteczka nr. 106, 1.944349, 2.325594
Czasteczka nr. 107, 2.464295, 1.830367
Czasteczka nr. 108, 1.793600, 1.949126
Czasteczka nr. 109, 1.905010, 0.853030
Czasteczka nr. 110, 2.374606, 0.043835
Czasteczka nr. 111, 2.115769, 3.087525
Czasteczka nr. 112, 1.994376, 1.425624
Czasteczka nr. 113, 1.632045, 1.657790
Czasteczka nr. 114, 1.820051, 1.336456
Czasteczka nr. 115, 1.641766, 1.589529
